,answer,entities
0,Genetic mutations are changes in the DNA sequence that can occur spontaneously or be induced by various factors,"['Genetic mutations', 'changes in the DNA sequence that can occur spontaneously or be induced by various factors', 'changes in the DNA sequence', 'changes', 'the DNA sequence', 'various factors']"
0,Different factors can affect the rate of chemical reactions at equilibrium,"['Different factors', 'the rate of chemical reactions at equilibrium', 'the rate', 'chemical reactions', 'equilibrium']"
0,"Photosynthesis is the process by which plants use sunlight, carbon dioxide, and water to make glucose (sugar) and oxygen","['Photosynthesis', 'the process by which plants use sunlight , carbon dioxide , and water to make glucose sugar and oxygen', 'the process', 'plants', 'sunlight , carbon dioxide , and water', 'sunlight', 'carbon dioxide', 'water', 'glucose sugar and oxygen', 'glucose sugar', 'glucose', 'sugar', 'oxygen']"
0,The human reproductive system is responsible for the production of offspring,"['The human reproductive system', 'the production of offspring', 'the production', 'offspring']"
0,"Plastics are a group of synthetic materials made from polymers, which are long chains of repeating molecules","['Plastics', 'a group of synthetic materials made from polymers , which are long chains of repeating molecules', 'a group', 'synthetic materials', 'polymers , which are long chains of repeating molecules', 'polymers', 'long chains of repeating molecules', 'long chains', 'repeating molecules']"
0,"Fermentation is a metabolic process in which microorganisms, such as yeast or bacteria, convert sugars into other compounds, such as alcohol or lactic acid, in the absence of oxygen","['Fermentation', 'a metabolic process in which microorganisms , such as yeast or bacteria , convert sugars into other compounds , such as alcohol or lactic acid , in the absence of oxygen', 'a metabolic process', 'microorganisms , such as yeast or bacteria ,', 'microorganisms', 'yeast or bacteria', 'bacteria', 'sugars', 'other compounds , such as alcohol or lactic acid', 'other compounds', 'alcohol or lactic acid', 'alcohol', 'lactic acid', 'the absence of oxygen', 'the absence', 'oxygen']"
0,"The process of fertilization is the fusion of a sperm cell and an egg cell, resulting in the formation of a zygote","['The process of fertilization', 'The process', 'fertilization', 'the fusion of a sperm cell and an egg cell', 'the fusion', 'a sperm cell and an egg cell', 'a sperm cell', 'an egg cell', 'the formation of a zygote', 'the formation', 'a zygote']"
0,The principles of DNA replication and gene expression are fundamental processes in molecular biology,"['The principles of DNA replication and gene expression', 'The principles', 'DNA replication and gene expression', 'DNA replication', 'gene expression', 'fundamental processes in molecular biology', 'fundamental processes', 'molecular biology']"
0,Wave polarization refers to the orientation of the oscillations of a wave in a specific direction,"['Wave polarization', 'the orientation of the oscillations of a wave in a specific direction', 'the orientation', 'the oscillations of a wave', 'the oscillations', 'a wave', 'a specific direction']"
0,"The human skeletal system is composed of bones, cartilage, ligaments, and tendons","['The human skeletal system', 'bones , cartilage , ligaments , and tendons', 'cartilage', 'ligaments', 'tendons']"
0,Different factors can affect the rate of osmosis in cells,"['Different factors', 'the rate of osmosis in cells', 'the rate', 'osmosis', 'cells']"
0,"Series and parallel circuits are two common types of electrical circuits with distinct characteristics:

Series Circuit:
- In a series circuit, the components (such as resistors, bulbs, or other devices) are connected one after another, forming a single pathway for the current to flow","['Series and parallel circuits', 'parallel circuits', 'two common types of electrical circuits with distinct characteristics', 'two common types', 'electrical circuits with distinct characteristics', 'electrical circuits', 'distinct characteristics', 'Series Circuit', 'a series circuit', 'the components such as resistors , bulbs , or other devices', 'the components', 'resistors , bulbs , or other devices', 'resistors', 'bulbs', 'other devices', 'one', 'another', 'a single pathway for the current to flow', 'a single pathway', 'the current to flow', 'the current']"
0,Wave interference is the phenomenon that occurs when two or more waves meet and combine in a region of space,"['Wave interference', 'the phenomenon that occurs when two or more waves meet and combine in a region of space', 'the phenomenon', 'two or more waves', 'a region of space', 'a region', 'space']"
0,Transpiration is the process by which plants lose water vapor through small openings called stomata on their leaves,"['Transpiration', 'the process by which plants lose water vapor through small openings called stomata on their leaves', 'the process', 'plants', 'water vapor', 'small openings called stomata on their leaves', 'small openings', 'stomata', 'their leaves']"
0,"The human muscular system is made up of muscles, which are specialized tissues that allow for movement and provide support to the body","['The human muscular system', 'muscles , which are specialized tissues that allow for movement and provide support to the body', 'muscles', 'specialized tissues that allow for movement and provide support to the body', 'specialized tissues', 'movement', 'support', 'the body']"
0,"Semiconductor devices are electronic components made from semiconductor materials, such as silicon or germanium","['Semiconductor devices', 'electronic components made from semiconductor materials , such as silicon or germanium', 'electronic components', 'semiconductor materials', 'silicon or germanium', 'silicon', 'germanium']"
0,The principles of radio communication involve the transmission and reception of information using radio waves,"['The principles of radio communication', 'The principles', 'radio communication', 'the transmission and reception of information using radio waves', 'the transmission and reception', 'information', 'radio waves']"
0,Renewable energy sources are energy resources that are naturally replenished and have a minimal impact on the environment,"['Renewable energy sources', 'energy resources that are naturally replenished and have a minimal impact on the environment', 'energy resources', 'a minimal impact on the environment', 'a minimal impact', 'the environment']"
0,"Nuclear energy is generated through the process of nuclear fission, where the nucleus of an atom is split into smaller parts, releasing a large amount of energy","['Nuclear energy', 'the process of nuclear fission , where the nucleus of an atom is split into smaller parts , releasing a large amount of energy', 'the process', 'nuclear fission', 'the nucleus of an atom', 'the nucleus', 'an atom', 'smaller parts', 'a large amount of energy', 'a large amount', 'energy']"
0,Genetic recombination is the process by which genetic material is exchanged between two or more DNA molecules,"['Genetic recombination', 'the process by which genetic material is exchanged between two or more DNA molecules', 'the process', 'genetic material', 'two or more DNA molecules']"
0,Electricity generation is the process of producing electrical energy from various sources,"['Electricity generation', 'the process of producing electrical energy from various sources', 'the process', 'electrical energy', 'various sources']"
0,Several factors can affect the rate of plant growth and development,"['Several factors', 'the rate of plant growth and development', 'the rate', 'plant growth and development']"
0,"Different factors can affect the rate of enzyme inhibition, which is the process of reducing or stopping the activity of an enzyme","['Different factors', 'the rate of enzyme inhibition , which is the process of reducing or stopping the activity of an enzyme', 'the rate', 'enzyme inhibition , which is the process of reducing or stopping the activity of an enzyme', 'enzyme inhibition', 'the process of reducing or stopping the activity of an enzyme', 'the process', 'the activity of an enzyme', 'the activity', 'an enzyme']"
0,Different factors can affect the rate of decomposition in ecosystems,"['Different factors', 'the rate of decomposition in ecosystems', 'the rate', 'decomposition', 'ecosystems']"
0,"The human circulatory system, also known as the cardiovascular system, is responsible for transporting blood, oxygen, nutrients, hormones, and waste products throughout the body","['The human circulatory system , also known as the cardiovascular system ,', 'The human circulatory system', 'the cardiovascular system', 'blood , oxygen , nutrients , hormones , and waste products', 'blood', 'oxygen', 'nutrients', 'hormones', 'waste products', 'the body']"
0,"The human nervous system has several important functions:

1","['The human nervous system', 'several important functions : 1', 'several important functions']"
